code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
2391,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,省广股份,0.11,-50.0,,3.59,,18981.77,-26.62,,08-08,4.24,14.9523,4473.2135,2.5658,1.5861,113.4859,1786.6852,0.1007,0.6604,272.5621,0.9121,-24.6887,93.6082,16.855,-50.0,101.6231
2401,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,和而泰,0.12,-33.33,,9.12,,10195.99,70.29,,07-28,11.05,22.9164,922.6643,1.111,2.1795,82.5877,2.6076,69.029,0.7701,233.7359,49.8463,72.9718,15.1724,22.0918,-33.3333,14.181
2406,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,海康威视,0.36,-16.98,,12.98,,329154.61,26.27,,07-22,20.01,42.7228,16447.5397,1.7821,1.3401,134.3183,2.1506,83.6976,0.4529,397.4387,31.0749,25.5049,26.4927,29.9346,-16.9767,25.8355
2421,达实智能,0.05,-58.31,,3.63,,10355.98,30.33,,08-03,8.96,26.6736,1155.2748,0.5996,0.6912,260.4167,2.9947,60.1062,0.3578,503.0743,16.3706,19.3575,10.4671,14.6828,-58.3077,10.3822
2427,尤夫股份,0.31,82.35,,5.42,,12283.59,84.1,,08-01,6.2,26.5471,1980.263,4.9736,2.1472,83.8301,4.4667,40.2982,0.5813,309.6508,95.3639,145.1409,27.8777,123.8473,82.3529,8.8185
2429,兆驰股份,0.07,-47.73,,4.16,,32779.7,47.94,,08-02,8.75,14.2228,3745.5086,0.8273,1.5482,116.264,2.285,78.7746,0.3783,475.8128,20.8543,49.8211,60.9251,47.2493,-47.7256,61.8453
2439,启明星辰,,,,-0.01,,-15.74,-102.76,,08-03,-0.02,67.9879,689.6626,0.7691,0.7158,251.4669,1.0859,165.7611,0.3483,516.7959,20.5681,-173.0558,34.6303,31.2903,-100.0,34.0222
2450,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,天马精化,0.01,-75.0,,0.3,,269.6,-78.64,,08-08,0.41,15.1772,654.4159,1.1454,1.9027,94.6024,3.0655,58.718,0.7508,239.7443,26.1085,-84.9557,-25.561999999999998,-9.9404,-75.0,-25.7731
2455,百川股份,0.12,100.0,,6.74,,5866.52,91.28,,08-01,5.59,13.0815,1048.5313,2.2115,6.5318,27.5575,3.6304,49.5813,1.1752,153.1654,13.0963,91.2805,8.0878,13.1003,100.0,8.0878
2460,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,三维工程,0.05,23.75,,1.97,,2489.88,20.88,,07-26,6.55,24.2146,379.5828,0.7542,0.8043,223.7971,2.6344,68.3268,0.2748,655.0218,127.0584,29.3523,-1.9818,8.0563,23.75,-2.8795
2471,中超控股,0.03,-21.41,,2.3,,4232.64,-21.54,,07-31,1.41,14.4846,2998.6368,2.3648,0.9441,190.6578,1.3791,130.5199,0.4543,396.214,4.6426,-14.9849,6.9767,2.8646,-21.4118,5.0506
2475,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,辉丰股份,0.16,121.43,,6.56,,23404.05,124.12,,08-04,3.86,7.7198,6048.8531,4.0125,7.5188,23.94,5.0698,35.5044,1.486,121.1306,212.4503,142.9025,6.3143,22.5511,121.4286,6.8382
2501,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,涪陵榨菜,0.22,0.0,,10.46,,17195.16,48.38,,07-28,21.68,46.9962,793.0402,1.0046,98.0374,1.8359999999999999,2.0009,89.9595,0.7119,252.8445,30.5938,48.3817,18.2918,24.0591,0.0,18.2918
2508,老板电器,0.63,8.62,,13.69,,59775.79,41.37,,07-27,18.69,57.3146,3197.758,3.3694,9.8765,18.2251,1.3517,133.1656,0.5543,324.7339,26.6301,41.3685,32.0697,29.8674,8.6207,32.0386
2510,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,宝馨科技,0.07,250.0,,4.37,,4116.38,215.6,,08-05,15.01,39.1899,274.2237,0.4949,1.0186,176.7131,0.7424,242.4569,0.3432,524.4755,-2.1625,315.555,-6.4093,2.6685,250.0,-4.8817
2515,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,金杯电工,0.12,-8.59,,2.85,,6393.75,-9.6,,07-27,4.0,14.0822,1596.2238,2.8858,2.6064,69.0608,2.9525,60.9653,0.7463,241.1899,21.1819,-8.9862,5.8619,6.4631,-8.5937,6.9009
2535,林州重机,0.03,200.0,,0.69,,2048.71,124.44,,08-08,3.12,20.8387,655.0724,0.8171,0.8205,219.3784,0.7475,240.8027,0.1804,997.7827,12.2908,128.5134,0.8801,7.6618,200.0,0.8864
2548,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,凯美特气,0.02,123.16,,1.49,,1321.1,145.7,,07-28,7.49,41.071000000000005,176.2992,0.3109,4.2062,42.794,12.0122,14.9848,0.621,289.8551,49.7488,167.7195,3.1484,-2.8653,123.1579,3.1256
2553,,,,,,,,,,,22.96,41.4988,192.1605,0.5521,2.4023,74.9282,1.9547,92.0857,0.4858,370.5228,25.8416,10.4532,1.0379,2.5487,10.453,1.0379
2560,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,兄弟科技,0.29,16.0,,8.39,,15446.85,129.42,,07-31,23.63,48.3641,653.6771,1.2073,3.7635,47.8278,2.0252,88.8801,0.6237,288.6003,28.6119,78.6835,13.9384,9.1719,16.0,13.9384
2567,唐人神,0.17,29.39,,4.79,,13773.96,106.67,,08-08,2.1,9.7062,6530.5061,8.1439,37.7543,4.7677,6.6764,26.9606,3.1654,56.8649,41.8787,72.5848,26.3175,38.5577,29.3856,25.4027
2568,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,雷柏科技,0.06,25.26,,1.39,,1627.31,20.07,,07-29,5.64,27.7962,288.2563,1.0173,2.4615,73.1261,2.6318,68.3943,0.3504,513.6986,12.5745,130.6588,-0.2462,-1.1773,25.261,0.7324
2582,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,奥拓电子,0.15,107.02,,5.87,,6107.66,123.39,,08-08,13.72,38.0047,445.0257,0.7278,1.375,130.9091,1.8615,96.6962,0.4805,374.6098,148.5311,116.22200000000001,71.8804,97.9414,107.0151,69.9335
2592,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,道明光学,0.1,163.16,,4.0,,5811.04,159.75,,07-28,18.42,36.5556,315.3364,0.5329,2.6613,67.6361,1.0856,165.8069,0.4067,442.5867,35.61,177.6528,4.8752,4.9357,163.1579,4.713
2641,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,佛慈制药,0.07,13.8,,2.64,,3450.53,13.78,,07-26,15.52,28.8624,222.2706,0.4352,3.3919,53.0676,0.737,244.2334,0.1611,1117.3184,22.9217,13.7837,5.2161,27.0675,13.8047,5.2161
2645,华宏科技,0.19,20.41,,2.52,,3954.21,20.43,,08-08,6.74,19.1517,586.3278,2.7994,3.2088,56.0957,2.4573,73.2511,0.6948,259.0674,29.2992,15.429,4.7179,10.434000000000001,20.4082,4.2876
2650,加加食品,0.09,1.18,,4.96,,9924.89,1.36,,08-04,10.16,27.9566,976.0476,0.8472,12.052,14.9353,2.2612,79.6038,1.3551,132.8315,1.4786,1.3599,5.5215,-5.2170000000000005,1.1765,5.5215
2654,万润科技,0.09,7.78,,3.07,,7609.37,20.13,,08-08,5.94,18.8599,1280.6853,1.5471,1.9418,92.6975,5.9243,30.3833,0.8015,224.5789,119.5463,24.7526,21.7459,32.4971,7.7844,21.4352
2656,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,中泰桥梁,-0.05,150.0,,-1.14,,-2531.4,332.04,,08-05,-10.94,7.4049,231.2669,0.4638,0.7449,241.6432,0.4439,405.4967,0.1475,1220.339,25.9883,,188.5056,81.8307,150.0,269.6756
2662,京威股份,0.17,-37.04,,3.62,,17141.71,-14.3,,08-05,6.51,27.9282,2632.5513,1.755,2.9187,61.6713,1.5408,116.8224,0.7377,244.0016,18.4121,-14.2323,7.9674,40.3622,-37.037,7.9093
2663,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,国盛金控,0.1,-67.04,,1.3,,15068.51,53.13,,08-09,23.82,12.0338,632.5222,0.4222,1.6228,110.9194,,,0.0354,5084.7458,61.8415,52.9449,4.2602,12.4245,-67.038,4.4108
2677,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,亿利达,0.15,-0.68,,4.82,,6452.88,6.39,,08-02,10.64,34.385,606.4495,1.368,1.5435,116.6181,2.0734,86.8139,0.5754,312.8259,40.7326,7.1147,53.1805,54.836000000000006,-0.6803,58.3526
2687,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,红旗连锁,0.07,-12.5,,4.42,,9852.25,-3.56,,07-26,2.87,27.5226,3432.7729,2.524,156.6172,1.1493,2.2614,79.5967,1.7986,100.0778,11.7876,-3.5627,5.36,11.8036,-12.5,5.36
2702,海欣食品,-0.04,-206.53,,-2.23,,-1726.13,-280.93,,08-05,-4.75,29.0007,362.9582,0.7163,3.0019,59.961999999999996,1.476,121.9512,0.5162,348.7021,-5.2736,-280.9263,2.2796,17.3368,-206.5282,2.2796
2706,良信电器,0.21,-32.26,,6.96,,11112.68,47.96,,08-05,15.52,38.5453,715.564,1.3825,7.4382,24.1994,2.4456,73.6016,0.5196,346.4203,26.0278,47.9628,10.0145,13.798,-32.2581,10.0145
2708,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,欧浦智网,0.22,29.41,,14.4,,23640.98,116.0,,08-02,8.62,8.0384,2739.5273,4.1505,11.2913,15.9415,9.7046,18.5479,1.2834,140.2525,109.4113,92.6964,17.9407,19.0794,29.4118,17.5644
2712,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,牧原股份,1.12,-45.89,,16.8,,120026.83,11.92,,07-20,28.37,34.3574,4230.6557,3.6519,,,0.9424,191.0017,0.9103,197.737,85.2054,11.9205,98.3171,87.4821,-45.8937,98.3171
2726,龙大肉食,0.3,0.0,,7.27,,13319.66,0.26,10转7,07-27,4.58,9.2669,2904.5979,6.5307,13.4893,13.3439,5.6693,31.75,1.8094,99.4805,14.1219,2.9993,9.2109,14.3567,0.0,9.328
2727,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,特一药业,0.27,22.73,,5.94,,5425.23,24.01,,08-05,16.73,46.7465,324.2667,1.6213,5.5467,32.4517,1.0087,178.4475,0.7314,246.1034,8.126,24.0054,10.8659,-0.7188,22.7273,10.8659
2732,燕塘乳业,0.38,22.58,,6.85,,6020.96,23.81,,08-08,10.49,34.7285,573.8145,3.6467,11.9094,15.1141,4.5978,39.1492,1.4961,120.3128,15.3774,28.293000000000003,11.5905,12.9484,22.5806,11.8354
2735,,,,,,,,,,,7.37,24.9986,261.5483,3.2693,1.4357,125.3744,3.1213,57.6683,0.5123,351.3566,28.4063,57.9041,7.8591,10.4967,60.0,7.4647
2740,,,,,,,,,,,,,,,,,,,,,,,,,,
2741,光华科技,0.13,46.56,,5.84,,4750.02,46.97,,07-20,8.41,23.9523,564.2404,1.5673,1.9282,93.3513,2.7852,64.6273,0.7288,246.9813,31.2915,46.9668,7.9481,51.3238,46.5556,7.9481
2750,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,凤形股份,-0.11,-191.67,,-1.71,,-967.98,-188.04,,07-22,-5.34,14.1034,181.2419,2.0595,1.4365,125.3046,1.3825,130.1989,0.3801,473.5596,44.0718,-188.0364,-2.4425,-2.9565,-191.6667,-2.4425
2763,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,先锋电子,0.11,-14.66,,2.44,,1640.44,-14.71,,07-28,12.15,34.8089,134.9092,0.8993,0.7068,254.6689,2.0471,87.9293,0.188,957.4468,-2.6909,-14.7101,7.3389,8.6867,-14.6646,7.3389
2768,国恩股份,0.32,52.38,,8.68,,7701.15,52.81,,07-31,9.54,20.7895,807.1157,3.3629,2.7045,66.5557,1.9945,90.2482,0.7152,251.6779,54.513000000000005,56.7124,24.7604,71.0603,52.381,17.8551
2769,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,真视通,0.18,-55.0,,4.93,,2966.37,-7.91,,08-04,7.94,25.9521,373.5199,2.3113,1.2044,149.452,1.3036,138.0792,0.452,398.2301,8.3746,-7.9104,9.1186,5.2902,-55.0,9.1186
2772,众兴菌业,0.18,-28.58,,2.78,,6384.34,-15.03,,07-29,19.96,29.7697,319.7531,0.8564,42.29600000000001,4.2557,3.0097,59.8066,0.2234,805.7296,20.5361,-16.2049,114.4404,67.8371,-28.5772,115.0978
2788,鹭燕医药,0.5,8.7,,4.53,,6345.6,16.53,,08-08,1.73,7.6716,3652.6278,28.4985,2.0308,88.635,3.7142,48.4627,1.0614,169.5873,7.1724,22.7732,9.6501,9.7654,8.6957,7.5927
2791,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,东音股份,0.32,-49.27,,9.14,,6496.88,23.59,,08-08,15.0,31.1176,433.12,2.1656,3.2441,55.4853,1.8299,98.366,0.826,217.9177,27.9677,23.5938,8.1122,16.5618,-49.2708,8.1122
2798,帝王洁具,0.28,12.0,,4.07,,2413.02,38.48,,08-03,10.83,29.0806,222.6992,2.5782,2.0921,86.038,1.4963,120.2967,0.4512,398.9362,16.9823,38.484,0.9525,6.7321,12.0,0.9525
2801,微光股份,0.47,-55.24,,7.16,,5501.69,18.25,,07-31,19.36,30.096,284.1275,2.4008,3.0761,58.5157,4.9683,36.2297,0.387,465.1163,32.5575,18.2545,11.526,15.3895,-55.2381,11.526
2803,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,纳尔股份,0.19,-54.76,,3.43,,1922.2,-39.24,,08-08,6.57,21.6711,292.3796,2.9147,5.671,31.7404,3.722,48.3611,0.5636,319.3754,13.5809,-39.2436,74.1402,64.4418,-54.7619,74.1402
2826,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,,,,,,,,,,,,,,,,,,,,,,,,,,
2847,盐津铺子,0.35,-30.0,,11.85,,4162.02,-11.16,,07-28,11.35,47.8469,366.6574,2.9569,9.7409,18.4788,1.736,103.6866,1.1262,159.8295,11.5198,-11.5206,93.9252,75.9598,-30.0,93.0242
2853,皮阿诺,0.64,88.24,,5.59,,3469.15,122.3,10派3,08-05,11.02,35.1656,314.5324,5.0619,5.2023,34.6001,3.6535,49.2678,0.4788,375.9398,48.8998,122.3935,191.9051,135.2151,88.2353,178.9444
2855,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,星帅尔,0.64,-1.54,,9.45,,4347.43,10.09,,08-04,26.61,41.5645,163.3168,2.1495,1.8037,99.7949,2.0035,89.8428,0.3885,463.3205,5.6509,10.0928,95.3128,70.7747,-1.5385,95.3128
2862,,,,,,,,,,,,,,,,,,,,,,,,,,
2870,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,弘宇股份,0.56,3.7,,9.09,,2778.12,3.02,,07-20,14.53,30.033,191.1507,3.823,2.4557,73.2989,1.7428,103.2821,0.8382,214.7459,12.6082,3.0176,,,3.7037,
300005,,,,,,,,,,,,,,,,,,,,,,,,,,
300006,,,,,,,,,,,,,,,,,,,,,,,,,,
300014,亿纬锂能,0.27,28.57,,11.33,,23252.93,161.37,,08-01,17.3,29.5315,1343.9906,1.5701,1.5725,114.4674,1.5265,117.9168,0.6272,286.9898,63.6456,148.2856,14.1317,83.7404,28.5714,21.6742
300021,,,,,,,,,,,,,,,,,,,,,,,,,,
300023,,,,,,,,,,,,,,,,,,,,,,,,,,
300037,新宙邦,0.34,-50.0,,5.73,,12695.38,1.96,,08-08,16.1,37.1759,788.42,2.0833,1.6454,109.3959,1.9382,92.8697,0.5071,354.9596,15.2686,1.954,9.3718,24.5248,-50.0,8.6407
300041,回天新材,0.18,15.14,,4.5,,7253.95,15.15,,07-31,10.02,27.1063,723.4257,1.805,1.6799,107.1492,2.438,73.831,0.6276,286.8069,30.4368,16.2894,18.9918,18.2188,15.1399,19.0729
300042,,,,,,,,,,,,,,,,,,,,,,,,,,
300046,台基股份,0.19,163.16,,3.36,,2699.8,163.16,,07-25,19.04,38.0473,141.7859,0.9979,2.0319,88.587,1.1977,150.2881,0.2774,648.8825,65.1168,163.1552,6.3078,-4.2589,163.1579,6.3078
300050,世纪鼎利,0.15,36.36,,3.34,,7275.17,35.89,,07-28,21.75,43.1242,334.36,0.6701,0.6262,287.4481,2.818,63.8751,0.2432,740.1316,-0.2043,27.1776,5.7645,8.4653,36.3636,5.497999999999999
300057,,,,,,,,,,,,,,,,,,,,,,,,,,
300059,东方财富,0.06,-38.98,,2.01,,26010.1,-22.77,,07-29,54.31,58.073,478.9023,0.1116,1.6439,109.4957,1.4574,123.5076,0.0195,9230.7692,-27.1038,-22.9653,5.1376,20.6485,-38.978,5.1561
300062,,,,,,,,,,,,,,,,,,,,,,,,,,
300070,碧水源,0.17,90.0,,3.37,,53384.87,97.73,,08-08,18.43,27.197,2895.0715,0.9238,0.706,254.9575,2.8576,62.9899,0.2132,844.2777,23.3428,103.102,21.6337,66.2445,90.0,15.2237
300071,,,,,,,,,,,,,,,,,,,,,,,,,,
300080,,,,,,,,,,,,,,,,,,,,,,,,,,
300084,,,,,,,,,,,,,,,,,,,,,,,,,,
300085,,,,,,,,,,,,,,,,,,,,,,,,,,
300096,,,,,,,,,,,,,,,,,,,,,,,,,,
300099,,,,,,,,,,,,,,,,,,,,,,,,,,
300112,,,,,,,,,,,,,,,,,,,,,,,,,,
300117,,,,,,,,,,,,,,,,,,,,,,,,,,
300121,,,,,,,,,,,,,,,,,,,,,,,,,,
300123,,,,,,,,,,,,,,,,,,,,,,,,,,
300125,易世达,-0.12,-40.0,,-1.37,,-1407.52,-39.34,,07-25,-31.17,34.1967,45.1508,0.3826,0.4685,384.2049,0.2238,804.2895,0.0548,3284.6715,-8.8241,,-4.9239,-13.5192,-40.0,-4.9538
300133,华策影视,0.16,0.0,,4.25,,27473.67,1.21,,07-27,15.68,25.0407,1751.2152,1.0026,0.5733,313.9717,0.5701,315.7341,0.2349,766.2835,13.1095,-3.5851,8.2116,18.7194,0.0,7.2351
300134,大富科技,-0.12,-271.43,,-1.53,,-8848.63,-283.66,,08-09,-9.78,15.1953,904.7509,1.1788,1.4918,120.6596,1.9024,94.6173,0.2007,896.8610000000001,-23.2115,-287.4575,134.0164,63.7122,-271.4286,135.9414
300136,,,,,,,,,,,,,,,,,,,,,,,,,,
300144,,,,,,,,,,,,,,,,,,,,,,,,,,
300146,汤臣倍健,0.4,60.0,,12.67,,58226.85,62.29,,07-31,39.16,66.9287,1486.5427,1.0111,18.0999,9.9448,1.4893,120.8622,0.4408,408.3485,20.5307,69.976,10.105,8.0267,60.0,8.8623
300148,天舟文化,0.13,-8.84,,2.51,,11013.98,52.4,,08-08,30.36,63.7805,362.6668,0.4292,1.8741,96.0461,4.8396,37.1932,0.2105,855.1069,51.7548,42.1765,118.6509,120.9742,-8.8359,123.0027
300171,,,,,,,,,,,,,,,,,,,,,,,,,,
300172,中电环保,0.11,22.22,,5.11,,5792.29,21.06,,08-01,17.5,30.733,330.8411,0.6525,0.8121,221.6476,0.9314,193.2575,0.2638,682.3351,8.8304,16.6243,9.3314,22.8423,22.2222,8.9558
300179,四方达,0.09,368.31,,5.35,,4093.05,367.56,,07-22,27.46,49.0563,149.0048,0.3121,1.1839,152.0399,0.8361,215.2853,0.2672,673.6527,133.5197,388.2877,7.8259,7.629,368.306,7.9919
300181,佐力药业,0.08,-16.1,,3.59,,4819.59,-16.09,,07-26,10.91,56.8936,441.4943,0.7253,1.5397,116.9059,0.8634,208.4781,0.4405,408.6266,-5.5898,-15.307,3.4610000000000003,2.571,-16.1017,3.8733
300182,捷成股份,0.2,-20.72,,5.66,,52203.05,29.49,,08-01,28.69,43.0904,1819.0856,0.7119,0.9742,184.767,2.0469,87.9379,0.3464,519.6305,32.8535,27.03,1.6959,17.9385,-20.7218,2.4159
300183,东软载波,0.29,-3.13,,5.08,,13171.16,-3.86,,07-31,32.97,59.7442,399.4776,0.8813,1.1748,153.2176,1.0853,165.8528,0.1883,955.9214,0.5079,-3.8192,14.9567,14.3186,-3.1333,15.3019
300184,力源信息,0.29,398.78,,5.74,,15363.13,597.24,,07-27,4.28,7.2296,3581.6397,5.4415,3.1599,56.9638,5.3672,33.537,1.493,120.5626,452.1238,597.236,467.6679,456.1407,398.7805,467.6679
300190,,,,,,,,,,,,,,,,,,,,,,,,,,
300193,佳士科技,0.14,27.27,,3.29,,7154.67,36.38,,08-05,17.83,35.7466,401.0516,0.7899,3.0926,58.2035,1.5984,112.6126,0.1943,926.4025,23.9752,36.8628,6.4856,6.9637,27.2727,6.4445
300197,,,,,,,,,,,,,,,,,,,,,,,,,,
300201,海伦哲,0.03,147.75,,2.07,,2831.52,597.88,,08-08,4.89,26.7914,578.8971,0.5628,0.7011,256.7394,1.2138,148.2946,0.3556,506.1867,43.0172,990.1271,13.4805,19.7096,147.7477,13.1416
300208,恒顺众N,0.33,65.0,,14.55,,25054.74,63.93,,08-05,30.64,42.2451,817.6875,1.0667,0.7785,231.2139,0.7104,253.3784,0.4101,438.9173,37.6365,58.7623,37.0577,52.2003,65.0,36.9308
300212,,,,,,,,,,,,,,,,,,,,,,,,,,
300222,,,,,,,,,,,,,,,,,,,,,,,,,,
300223,北京君正,0.02,22.7,,0.34,,378.14,22.73,,08-09,4.91,40.6722,76.9447,0.4623,6.9510000000000005,25.8956,0.4694,383.4683,0.0894,2013.4228,98.3241,22.7322,1.3435,3.2662,22.7027,1.3435
300229,,,,,,,,,,,,,,,,,,,,,,,,,,
300231,银信科技,0.18,6.74,,9.63,,6241.18,8.7,,07-29,15.37,35.0315,405.8921,1.185,0.8863,203.0915,11.04,16.3043,0.5945,302.7754,6.0311,8.6989,21.5083,12.5206,6.737,21.5083
300234,开尔新材,0.0,-96.5,,0.06,,61.62,-95.98,,08-04,0.46,35.5848,131.9568,0.4557,0.4683,384.369,0.5229,344.2341,0.1663,1082.3812,-11.0155,-98.3182,1.538,0.8761,-96.5,1.0972
300237,,,,,,,,,,,,,,,,,,,,,,,,,,
