,报表日期,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
32,偿还债务支付的现金,3342000000.00,2033000000.00,685000000.00,3136500000.00,2066500000.00,1065000000.00,840000000.00,5325930335.00,4575279223.89,3333500000.00,2469365000.00,7038328660.00,4340211617.00,3585546061.00,2886046061.00,6441452940.00,6295682254.99,4457674695.00,1802139800.00,2512238966.90,1913725968.57,1152900000.00,300000000.00,1981732750.00,1785527450.00,1019800000.00,372800000.00,2009512000.00,1854545123.68,1559233190.00,711050000.00,2324188267.65,2105358406.45,1696756556.45,223763288.26,561458721.62,483717969.96,242717969.96,125850000.00,691193177.40,553555183.98,409694911.26,179418171.26,426388716.06,449262698.85,264346768.60,179670968.60,374844824.00,325927478.80,202034250.00,97300000.00,351228688.00,314000010.50,246000000.00,149250010.50,249865124.88,138563250.42,124496825.52,41000000.00,60000000.00,50000000.00,0,0,0,0,2480100.00,2480100.00,2000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,184931079.78,118122480.65,45882917.06,267173884.26,210308811.09,141339556.05,29635092.82,471058608.90,310110688.69,246937195.31,59214014.00,704612307.00,591894819.67,483385929.51,131356433.79,923879105.07,857129473.87,773451019.48,196612801.18,1083929357.07,899880493.96,720242242.47,53567470.72,445254409.41,297110165.09,133259912.85,28772161.68,180668056.29,125877527.75,89871044.67,21457672.90,148676149.22,96472258.66,66807290.55,27119228.17,93423294.79,65657090.91,67851532.16,10737601.19,85862212.14,38682390.57,28902904.18,7902132.78,26775032.67,21995470.32,12353079.45,4857718.48,23183320.28,18627526.23,11469178.40,5005312.09,23363722.24,18201150.23,8867678.12,5804943.14,25220593.56,19335490.90,10161711.09,1224670.18,19127752.11,16803776.30,38440880.00,25436191.20,4016011.14,2847559.33,26514604.20,21995320.74,7648716.12,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,58044663.76,0,14294913.60,0,50334094.57,0,18511000.00,0,0,0,0,0,120199515.28,0,0,0,555985118.45,0,0,0,275840333.59,0,0,0,0,0,0,0,41895146.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140248.00,0,0,0,361583.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,426136744.33,207020419.26,105000000.00,778075935.35,709096224.78,442617309.72,225970794.99,1038326184.96,663111113.38,453258237.48,162487655.00,1175148229.08,507600000.00,373832025.20,79724007.48,552243032.48,359437648.67,264971666.00,146733816.00,671471452.20,125090295.18,150795000.00,17582800.00,492216650.08,2419812.66,0,0,120507178.71,51201093.58,49445288.58,0,86686620.55,100192532.58,447363435.02,235191304.00,165228988.62,1821437.68,1561263.74,28749.50,30200472.50,1496025.01,421945.51,4081.10,0,136965.59,132141.59,102092.79,68910.53,51625.18,48943.82,22260.10,169838.60,124452.42,74044.57,71791.89,2891821.12,0,0,115992.34,1747309.55,849860.01,922225.68,42090.44,0,0,0,0,0,0.0
36,筹资活动现金流出小计,3953067824.11,2358142899.91,835882917.06,4181749819.61,2985905035.87,1648956865.77,1095605887.81,6835315128.86,5548501025.96,4033695432.79,2691066669.00,8918089196.08,5439706436.67,4442764015.71,3097126502.27,7917575077.55,7512249377.53,5496097380.48,2145486417.18,4267639776.17,2938696757.71,2023937242.47,371150270.72,2919203809.49,2085057427.75,1153059912.85,401572161.68,2310687235.00,2031623745.01,1698549523.25,732507672.90,2559551037.42,2302023197.69,2210927282.02,486073820.43,820111005.03,551196498.55,312130765.86,136616350.69,807255862.04,593733599.56,439019760.95,187324385.14,453163748.73,471395134.76,276831989.64,184630779.87,398097054.81,344606630.21,213552372.22,102327572.19,374762248.84,332325613.15,254941722.69,155126745.53,277977539.56,157898741.32,134658536.61,42340662.52,80875061.66,67653636.31,39363105.68,25478281.64,4016011.14,2847559.33,28994704.20,24475420.74,9648716.12,0.0
37,筹资活动产生的现金流量净额,3804493562.19,2486622440.55,2286117082.94,554709054.26,508302074.31,731298058.14,-87552177.88,-2056552122.14,-1798409487.31,-1442840126.87,-253182954.69,-2513451184.97,-1399540880.67,-1285789382.38,-1158368906.27,270793360.49,-798402474.57,550378409.52,303597345.86,1651233937.65,208174288.39,326401327.39,1378849729.28,-826069129.44,-363744771.41,-192793867.72,-8847160.05,-26340977.74,-220819886.83,-428128709.99,-401507672.90,431605876.89,399114542.32,106016932.99,-16880167.37,1445620836.14,719814944.48,798829922.60,21663823.27,-18040250.86,-91588767.16,-166878252.23,-52896767.99,104672051.27,31030085.53,89968625.88,-38800823.21,11095157.70,15302342.91,44936411.39,10024079.07,2158594.17,-26362962.09,-25959544.16,-2797141.34,162894787.03,177843177.73,162502297.80,28659337.48,57747063.34,2112948.55,12351519.70,-24382902.64,286349554.66,286595274.35,-26514604.20,-21995320.74,-7648716.12,0.0
38,四、汇率变动对现金及现金等价物的影响,-785015.08,-2548050.45,-59213.99,1935170.57,0,0,0,11580.05,0,0,0,183.89,0,0,0,1590.57,0,0,0,50992.54,0,0,0,-21752.45,0,0,0,1920.96,0,0,0,1102.66,0,0,0,-125.71,0,0,0,-133059.81,-37.83,-37.83,-37.83,-7833.19,-7780.88,-7780.88,0,-21914.35,-12268.35,0,0,0,0,0,0,0,0,0,0,241153.83,234786.35,-34285.21,-29745.61,234527.23,-4639.76,2661.17,-14604.75,-127679.40,0.0
39,五、现金及现金等价物净增加额,4179099676.25,2474334032.25,2173312515.71,517866953.84,1404872486.60,1313046697.91,-25993893.39,376658240.16,499247844.68,793216081.44,488921838.62,-1980842475.02,-1124998977.27,-1286401545.83,-1186147509.30,1210709305.66,1196305550.35,1458021241.94,-109904092.07,206062713.42,-49993548.67,1338606879.81,579921794.45,831703334.32,1114909786.54,557365977.53,575924168.95,330935406.18,-42107796.87,-374336325.17,-409794352.62,45771690.83,4700209.32,134961517.81,56119803.25,713316350.58,188274440.15,426385540.31,11430701.94,2835116.53,76164466.96,-58507258.50,-36807194.83,290395102.13,192529915.47,158318193.07,6099485.19,60525719.39,43671785.25,45054448.90,-1900428.83,-16714256.42,-33843557.81,31907663.54,33673668.01,29203313.76,49295469.81,77999599.39,2707304.90,-325192412.76,-267530666.56,-87114171.63,-47103510.54,384932213.58,321600173.83,-6257091.83,-14169688.57,-194915911.81,0.0
40,加:期初现金及现金等价物余额,2726268159.07,2726268159.07,2726268159.07,2208401205.23,2208401205.23,2208401205.23,2208401205.23,1831742965.07,1831742965.07,1831742965.07,1831742965.07,3812585440.09,3812585440.09,3812585440.09,3812585440.09,2601876134.43,2601876134.43,2601876134.43,2601876134.43,2395813421.01,2395813421.01,2395813421.01,2395813421.01,1564110086.69,1564110086.69,1564110086.69,1564110086.69,1233174680.51,1233174680.51,1233174680.51,1233174680.51,1187402989.68,1187402989.68,1187402989.68,1187402989.68,474086639.10,474086639.10,474086639.10,474086639.10,471251522.57,412058936.31,412058936.31,412058936.31,121663834.18,121663834.18,121663834.18,121663834.18,61138114.79,61138114.79,61138114.79,61138114.79,77852371.21,77852371.21,77852371.21,77852371.21,48649057.45,81219057.45,81219057.45,81219057.45,406411470.21,406403177.73,493525641.84,493525641.84,108593428.26,108593428.26,114850520.09,114850520.09,309766431.90,0.0
41,六、期末现金及现金等价物余额,6905367835.32,5200602191.32,4899580674.78,2726268159.07,3613273691.83,3521447903.14,2182407311.84,2208401205.23,2330990809.75,2624959046.51,2320664803.69,1831742965.07,2687586462.82,2526183894.26,2626437930.79,3812585440.09,3798181684.78,4059897376.37,2491972042.36,2601876134.43,2345819872.34,3734420300.82,2975735215.46,2395813421.01,2679019873.23,2121476064.22,2140034255.64,1564110086.69,1191066883.64,858838355.34,823380327.89,1233174680.51,1192103199.00,1322364507.49,1243522792.93,1187402989.68,662361079.25,900472179.41,485517341.04,474086639.10,488223403.27,353551677.81,375251741.48,412058936.31,314193749.65,279982027.25,127763319.37,121663834.18,104809900.04,106192563.69,59237685.96,61138114.79,44008813.46,109760034.75,111526039.22,77852371.21,130514527.26,159218656.84,83926362.35,81219057.45,138872511.17,406411470.21,446422131.30,493525641.84,430193602.09,108593428.26,100680831.52,114850520.09,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,220862274.38,0,80279445.67,0,22540738.88,0,57637098.15,0,219897512.05,0,263457925.29,0,72943663.01,0,950082610.60,0,455692032.57,0,1672734838.55,0,1842477326.96,0,5608813798.08,0,2998869831.12,0,1371095958.29,0,556949648.69,0,109755632.44,0,-108940996.25,0,229034307.51,0,308118662.82,0,402873671.47,237775962.31,92959400.05,93947977.91,79058579.98,35169210.25,20678496.73,3285452.71,13048728.37,17913155.59,7207264.33,2227248.42,21877537.64,21715530.66,12586900.40,5063224.65,37878630.91,27143968.09,20689630.71,4083035.59,65189807.87,32038785.48,80568683.18,46059745.75,98081073.43,43358260.64,63406773.73,25406113.86,78329489.40,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43296989.67,25351087.04,9179950.87,-217501.41,2033672.14,-1309986.05,-1830037.12,-1301167.99,3985215.16,5819636.30,4457941.79,1279457.86,1597354.38,1382401.67,1062134.39,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,43592844.97,0,115792716.25,0,62306987.34,0,305777696.53,0,-36597879.51,0,183830707.33,0,75940119.91,0,77358343.60,0,449787097.20,0,597436113.02,0,157049847.23,0,164157256.46,0,29642347.85,0,93523957.03,0,-581970.12,0,8550759.74,0,-19415493.74,0,113117051.74,0,-2811725.15,0,39608339.70,19288304.98,19042422.41,1063309.97,58982881.51,3374182.23,2790781.87,0,7898673.45,1789198.71,1628330.04,-326.99,10083624.51,9724361.99,9231500.37,1179905.86,2461474.19,850488.61,285988.05,0,0,1237622.65,5723460.13,1662005.35,-5300851.13,678652.82,4916609.29,0,492.76,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,114247316.71,0,216058931.47,0,106934816.30,0,205022768.77,0,96017209.04,0,193345581.57,0,92838602.85,0,180501248.39,0,91943591.46,0,170207471.90,0,83085697.91,0,163081823.91,0,70610273.80,0,158130155.81,0,67336561.27,0,125159295.57,0,60563873.09,0,98765684.10,0,49880530.48,0,86511091.57,43123686.72,28994682.70,13959063.84,55718212.25,41236541.40,27076208.24,13618637.41,50657705.81,39149994.19,25980275.43,12904888.02,50408677.86,37849481.15,24966325.40,12283005.26,29121963.06,19263066.38,11548838.52,5366471.22,21944778.28,11329637.07,22991190.34,10944297.29,23031784.70,11564104.26,17142531.94,7136687.15,14404794.10,0.0
48,无形资产摊销,0,12369595.58,0,23263982.32,0,3740915.35,0,24611895.37,0,4934895.82,0,24525019.31,0,4399085.03,0,23477925.16,0,4025871.16,0,9869916.70,0,3644135.67,0,8221940.71,0,2379337.38,0,12956635.46,0,6653137.96,0,12685123.62,0,7445012.52,0,14951920.06,0,9911466.08,0,8047669.69,5013654.36,2850877.94,1383358.79,5699134.72,4154798.54,2849533.26,1424954.68,5477121.57,4157281.32,2770848.66,1384416.00,5566500.89,5302771.78,2703546.64,1349515.95,3678168.85,2326042.30,968948.63,539784.97,140357.40,70178.70,171405.92,45232.80,72500.30,0,0,0,0,0.0
49,长期待摊费用摊销,0,10432761.47,0,28854327.93,0,13181537.37,0,32041731.77,0,17633731.64,0,28907643.09,0,7616994.43,0,29388481.82,0,12327342.28,0,29837004.34,0,11774503.92,0,19636239.70,0,17537950.46,0,8011010.46,0,3060161.86,0,8152821.31,0,2233983.54,0,7971023.04,0,4330286.93,0,64471919.05,66497742.42,40077829.45,21965663.51,2261325.67,1642403.58,1094147.22,547072.11,5632940.91,5012836.57,4465761.46,3759541.80,18662080.28,3797985.15,2602812.06,1405276.47,10028651.24,5981435.83,2448213.23,423892.86,1706004.14,865483.72,1695571.44,847785.72,3027185.22,0,1400632.06,364273.00,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1199710.58,405907.92,-508961.26,-186457.08,-775677.05,-185820.61,-1257306.49,582583.47,-82256.50,913374.70,-3122064.68,-76569.85,-2208624.50,-2934540.94,-3490759.52,-22161.07,-171483.58,-370829.50,-763162.64,678320.34,0,-342979.12,-587074.00,-401544.00,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-805065.74,4524156.68,6469644.22,5872859.60,-2470170.92,3669470.92,1054756.41,1475224.71,2744743.02,8281754.48,4725194.77,6405349.26,-1236525.30,4740266.41,14017601.82,6955867.82,1635633.08,5725581.16,0,14212850.59,-364598.00,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,-536959.52,0,-7026816.13,0,471090.05,0,-72571.92,0,-172339.30,0,-366284.71,0,-106827.16,0,-155630.83,0,-189309.49,0,-558130.41,0,251084.94,0,404991.80,0,130450.37,0,-902566.27,0,30906.12,0,-219270.13,0,-2439987.98,0,15877896.41,0,291434.21,0,100937090.91,14224167.60,14419954.27,-48224.67,16565166.14,326625.29,-563.48,-563.48,564181.46,519736.38,517207.55,533966.49,-270530.38,292323.50,-292323.50,0,-1412944.02,-1412764.02,-1407764.02,0,0,0,-4405654.77,425148.34,538.60,-57060.17,31656.96,0,0,0.0
53,固定资产报废损失,0,15933164.12,0,4910937.81,0,20990.60,0,30355279.90,0,444395.96,0,14366781.49,0,251951.67,0,4397907.02,0,1937993.56,0,9093627.97,0,2169320.36,0,35945834.05,0,-24720.45,0,17742297.59,0,0,0,1614191.45,0,0,0,0,0,263860.73,0,0,80880592.91,81119355.47,0,26739.64,0,2888882.12,2555090.28,123210.23,67656.21,0,0,5076773.63,0,0,0,6153.86,0,0,0,355867.04,351436.04,0,0,1424308.93,161377.17,462126.66,0,0,0.0
54,公允价值变动损失,0,5790.00,0,24630.00,0,19950.00,0,-64230.00,0,-73560.00,0,-37590.00,0,2820.00,0,55680.00,0,38640.00,0,6270.00,0,-1680.00,0,130290.00,0,21630.00,0,-36570.00,0,29280.00,0,-80647.06,0,-60480.00,0,76529.78,0,38490.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,0,109713403.77,0,141255142.71,0,62445086.20,0,197887619.84,0,110870235.86,0,330846261.30,0,163495795.71,0,388186335.15,0,216619305.48,0,265215977.13,0,113030121.28,0,157179201.40,0,53935934.54,0,125278465.20,0,54823665.35,0,109054915.13,0,60563873.09,0,92774945.49,0,26595382.21,0,37845790.33,22398731.42,15186371.65,7662430.93,29395991.33,18778773.36,11578825.14,4829694.17,22681659.35,16204569.65,10662168.00,4772143.74,12855371.38,17711958.42,11690569.45,5627102.38,12891227.84,10184533.00,4749210.81,1342066.43,3541136.44,144783.21,-1958517.30,-1209668.02,-1623974.51,-1156646.59,-1911837.80,-1016831.07,-10589345.57,0.0
58,投资损失,0,3291212.86,0,-8988739.47,0,36445.22,0,-23669872.40,0,-6389480.41,0,909552.37,0,1296364.06,0,6207559.38,0,1748048.52,0,4828199.64,0,-1531177.26,0,-4747392.86,0,-2738603.81,0,-8448012.14,0,-225791.35,0,2615815.77,0,3129523.13,0,574683.17,0,-1633028.32,0,-3342795.95,-3342736.33,-1675956.82,-739890.30,-36619.04,-466182.58,61801.13,-36998.68,-8083.76,104705.92,174732.12,-35035.80,-119252.41,-257738.68,-197123.63,518948.44,504093.38,526142.01,-4998700.41,69081.38,162174.24,0,0,0,-299980.80,-36190.00,-2125000.00,-2125000.00,-3360000.00,0.0
59,递延所得税资产减少,0,83638627.04,0,168729294.26,0,19178829.47,0,212384503.04,0,42990477.22,0,22676899.09,0,-39390905.28,0,-14177517.69,0,-43053810.11,0,-453018527.45,0,-53343833.01,0,-597875710.78,0,-1595399.45,0,-8242642.22,0,182526.67,0,7526879.68,0,0,0,-10655927.66,0,-88021.71,0,-2060367.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,递延所得税负债增加,0,17226792.55,0,4386011.44,0,-257213.70,0,7389615.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5412.98,0,0,0,-713546.94,0,0,0,539316.28,0,0,0,-974574.74,0,0,0,0,0,0,0,97324.92,0,0,0,0,0,0,0,97324.92,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,0,195732029.86,0,-432910153.65,0,230272850.06,0,2057379542.69,0,1459361986.99,0,539682036.26,0,27100478.25,0,1057897652.71,0,741193772.28,0,-2267866097.49,0,-234237780.03,0,-4605097263.57,0,-2208094813.28,0,-1100788044.16,0,-335827729.64,0,-609480836.74,0,-509474466.74,0,-58047523.22,0,-198581835.27,0,-338455070.31,-53668887.58,44180367.91,-59830376.53,-66087424.69,38465875.45,56215273.20,8013263.03,60422739.23,52580425.45,27876742.54,6963014.47,-110093181.68,-63958412.64,-26948972.33,-14605626.11,-66659013.20,-75295801.57,-30511834.62,-14236598.81,-11751219.76,-15104598.67,-64414102.62,-39564258.07,24268013.73,24774876.30,-27211085.28,-9735474.08,-36011610.48,0.0
62,经营性应收项目的减少,0,-712368006.80,0,-285385554.83,0,-293767559.45,0,1018224346.99,0,935334338.63,0,-1391616022.42,0,-378463945.03,0,-1094894156.92,0,-1435526331.59,0,-2797378.57,0,-393663537.92,0,459060006.36,0,-1430200653.22,0,29061021.96,0,-120083103.75,0,95481623.05,0,558010590.95,0,-782759353.13,0,-59624532.75,0,-272323031.75,-223539926.96,-254048967.70,-120954226.20,-4799148.98,-164754543.77,-221114682.91,5615068.56,13280967.42,-50208797.55,-66242381.50,-2177990.80,-22757836.30,-104587211.27,-52913594.67,-16481752.88,-91666204.74,-58596014.86,-40634800.30,-7763163.67,-31297037.07,-6123976.98,-36031761.38,-14205279.40,28866207.53,-9622016.58,-84276638.43,-32729548.48,-62267981.51,0.0
63,经营性应付项目的增加,0,-36239283.60,0,41903448.32,0,419683379.81,0,-1425102060.87,0,-560239412.52,0,486822776.72,0,35232112.40,0,-473710030.79,0,505898892.98,0,-1017884227.60,0,-171023873.99,0,538896701.93,0,1706096221.28,0,246061308.91,0,88495658.63,0,-67975780.86,0,102503178.39,0,73612846.03,0,-223702958.40,0,175815370.09,87817656.48,75386302.96,75747209.89,23550165.38,213370350.54,161539890.16,8156362.42,-76446418.35,-25488394.29,5661379.64,-30125419.93,40358648.68,73276509.63,69929757.46,49730599.55,84888784.07,88762260.57,36963235.33,11952404.66,-993946.68,-20612913.89,-659637.65,-17121436.79,-1314661.16,3410656.86,31082510.90,-10816818.49,-15997027.65,0.0
64,已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,其他,0,13623865.83,0,9807354.27,0,0,0,8695810.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138019.50,0,0,949.51,0,0,321912.70,1523.00,0,2775796.75,-1950478.18,-1908924.04,-1533253.47,1487094.32,77041.31,71412.90,60680.20,14573.40,132310.69,0,133381.81,-423794.45,1423848.84,-504607.73,-664583.14,-7646794.98,0.0
67,经营活动产生现金流量净额,0,91525429.22,0,100954958.37,0,646808843.50,0,2708499173.38,0,2284012111.47,0,697351286.69,0,63156309.85,0,1134616407.60,0,1002443136.30,0,-982894942.27,0,1359680156.06,0,1947807717.19,0,1236569786.59,0,943437562.94,0,320842951.69,0,-197873023.97,0,154118610.00,0,-204166600.40,0,-87011988.14,0,298955102.89,296468948.33,158492640.29,34294316.64,242826927.84,219973567.43,81715045.20,53154430.14,102807794.75,63708088.67,19742749.95,-876804.35,41736752.50,12936215.79,61546984.87,49099688.54,23589663.91,23724441.23,12317574.10,5302763.13,50625967.31,9882845.60,3309807.79,1466642.73,170122072.73,74499863.55,2070693.18,-24768255.25,-43091218.27,0.0
68,债务转为资本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,一年内到期的可转换公司债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,融资租入固定资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,现金的期末余额,0,5200602191.32,0,2726268159.07,0,3521447903.14,0,2208401205.23,0,2624959046.51,0,1831742965.07,0,2526183894.26,0,3812585440.09,0,4059897376.37,0,2601876134.43,0,3734420300.82,0,2395813421.01,0,2121476064.22,2140034255.64,1564110086.69,1191066883.64,858838355.34,823380327.89,1233174680.51,1192103199.00,1322364507.49,1243522792.93,1187402989.68,662361079.25,900472179.41,485517341.04,474086639.10,488223403.27,353551677.81,375251741.48,412058936.31,314193749.65,279982027.25,127763319.37,121663834.18,104809900.04,106192563.69,59237685.96,61138114.79,44008813.46,109760034.75,111526039.22,77852371.21,124822527.26,144808656.84,83012362.35,48649057.45,118872511.17,406411470.21,446422131.30,493525641.84,430193602.09,108593428.26,100680831.52,114850520.09,0.0
72,现金的期初余额,0,2726268159.07,0,2208401205.23,0,2208401205.23,0,1831742965.07,0,1831742965.07,0,3812585440.09,0,3812585440.09,0,2601876134.43,0,2601876134.43,0,2395813421.01,0,2395813421.01,0,1564110086.69,0,1564110086.69,1564110086.69,1233174680.51,1233174680.51,1233174680.51,1233174680.51,1187402989.68,1187402989.68,1187402989.68,1187402989.68,474086639.10,474086639.10,474086639.10,474086639.10,471251522.57,412058936.31,412058936.31,412058936.31,121663834.18,121663834.18,121663834.18,121663834.18,61138114.79,61138114.79,61138114.79,61138114.79,77852371.21,77852371.21,77852371.21,77852371.21,48649057.45,48649057.45,48649057.45,48649057.45,406411470.21,406403177.73,493525641.84,493525641.84,108593428.26,108593428.26,114850520.09,114850520.09,309766431.90,0.0
73,现金等价物的期末余额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5692000.00,14410000.00,914000.00,32570000.00,20000000.00,0,0,0,0,0,0,0,0.0
74,现金等价物的期初余额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32570000.00,32570000.00,32570000.00,0,0,0,0,0,0,0,0,0,0.0
75,现金及现金等价物的净增加额,0,2474334032.25,0,517866953.84,0,1313046697.91,0,376658240.16,0,793216081.44,0,-1980842475.02,0,-1286401545.83,0,1210709305.66,0,1458021241.94,0,206062713.42,0,1338606879.81,0,831703334.32,0,557365977.53,575924168.95,330935406.18,-42107796.87,-374336325.17,-409794352.62,45771690.83,4700209.32,134961517.81,56119803.25,713316350.58,188274440.15,426385540.31,11430701.94,2835116.53,76164466.96,-58507258.50,-36807194.83,290395102.13,192529915.47,158318193.07,6099485.19,60525719.39,43671785.25,45054448.90,-1900428.83,-16714256.42,-33843557.81,31907663.54,33673668.01,29203313.76,49295469.81,77999599.39,2707304.90,-325192412.76,-267530666.56,-87114171.63,-47103510.54,384932213.58,321600173.83,-6257091.83,-14169688.57,-194915911.81,0.0
